Id,WhiteElo,BlackElo,Result,WhiteShortCastle,WhiteLongCastle,BlackShortCastle,BlackLongCastle,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
196,1450,1446,0-1,-,-,5,-,"5,6,7,8,9,10,11,12",5,"e4e5,e4e5,f3e2,f3h3,f3h3,d4e5,b1d2,g5e7",b8c6
201,1990,2005,0-1,8,-,-,8,"6,7,8","6,7,8","h2h3,c4b5,d2d3","g4f3,h5g6,h7h5"
191,1411,1424,1-0,-,-,-,-,"11,12,13,14,14,15","12,13,14,14","d3b5,d3b5,d3b5,d3b5,d3b5,d3b5","a5h5,e8c8,e8g8,e8g8"
204,1423,1465,0-1,11,-,8,-,"10,11",8,"d3e4,c3e4",e8g8
195,1480,1390,1-0,15,-,8,-,"7,8,9,10,11,12,13,14,14,15,15","7,8","f3h4,f3h4,f3h4,g5f6,b3b7,b7c6,f1a6,c6b5,c6b5,e1g1,e1g1","e6d5,b8d7"
206,1147,1186,0-1,4,-,14,-,4,14,d2d3,a6a5
205,1799,1807,1-0,5,-,9,-,"4,5","6,7,8,9","c2c3,e1g1","e8g8,d6d5,e8g8,b7b5"
210,2127,2080,0-1,-,8,-,-,8,-,f2f4,-
208,1263,1256,0-1,-,-,-,-,-,"7,8",-,"a5a1,g8f6"
203,1465,1484,0-1,-,-,7,-,"10,11,11,12,12,13,13,15,15",7,"e1g1,a2a3,a2a3,a2a3,a2a3,e3c5,e3c5,c5f8,c5f8",d7d5
211,1554,1567,0-1,-,-,7,-,"11,12,13",7,"e2f2,d2e3,h1f1",e8g8
209,1939,1827,0-1,8,-,-,-,8,"12,13,14,15",d4c5,"b4a3,f8c5,a3c5,d5d4"
215,1360,1341,1-0,7,-,4,-,7,4,d4e5,e8g8
207,1623,1637,1-0,12,-,7,-,"8,9,10,11,12",7,"e4e5,e1g1,h2h3,d1c2,e1g1",d7d5
214,1715,1716,1-0,9,-,9,-,"8,9",9,"d2f3,e1g1",e8g8
202,1161,1275,1-0,-,-,5,-,"4,5,6,7,8,9,11,12,13,14,14,15,15",5,"b1c3,b1c3,e1g1,c1g5,c4d5,f3g5,d5f7,f7e8,c1e3,e3c5,e3c5,e1g1,e1g1",d7d6
216,1632,1570,0-1,7,-,14,-,7,14,e1g1,e8g8
198,1594,1573,0-1,-,-,12,-,"10,11,12,12,13,13,14,14,15,15","8,9,10,11,12,12","e1g1,d1f3,e1c1,e1c1,f4h6,f4h6,g3g4,g3g4,g4f5,h6e3","g4f3,d5c4,a5h5,f8b4,c6d4,c6d4"
222,1913,1930,0-1,-,-,-,-,-,-,-,-
213,2098,2229,0-1,12,-,8,-,"10,11,11,12,12",8,"f1d3,a2a3,e4e5,e4e5,e4e5",d7c5
220,1817,1829,1-0,8,-,6,-,"7,8","5,6","f2f3,b1d2","d7d6,e6e5"
224,1141,1156,0-1,5,-,5,-,5,5,d2d3,e8g8
212,1591,1588,1-0,11,-,-,-,"7,8,9,10,11",-,"b1c3,h2h4,c4b3,d1h5,d1e2",-
219,1912,1805,1-0,14,-,-,-,"6,7,8,9,10,11,12,13,14","10,11","f3e5,e2f3,h3h4,h3h4,a1b1,f3h5,h3h4,e1g1,c4b5","h7h6,b6c7"
226,1228,1239,0-1,9,-,9,-,"4,5,6,7,8,9","6,7,8,9","f3e5,c4e2,d2d4,f4e5,e5f6,e1g1","d6e5,c8g4,f6g4,g4e5"
223,1816,1827,0-1,-,-,-,-,"11,13,15","7,8,9,10,11,12,13,13,14,14,15","f3d2,h4f6,a1a2","d8b6,c5b4,g7g5,g7g5,b4c3,g7g5,g7g5,g7g5,f6e4,f6e4,c3d2"
217,1532,1523,0-1,14,-,-,-,"7,8,9,10,11,12,13,14","13,14,15,15","d4d5,e4e5,d4d5,b5d3,e5c6,d4d5,e1g1,b4d2","c6c1,f8b4,c6c4,c6c4"
221,1143,1077,0-1,13,-,-,-,"6,7,8,9,10,12,12,13,13","12,13,14,15","c4d3,a2a4,f4e3,d4d5,d3e2,e3g5,e3g5,g5f3,g5f3","f6g4,e7g5,e7g5,e8g8"
232,1068,1050,1-0,-,-,-,-,-,-,-,-
233,730,859,1-0,-,-,-,-,-,-,-,-
231,1306,1250,1-0,8,-,7,-,8,7,e5e6,c7c6
227,1610,1547,1-0,-,-,-,-,"6,7,8,9,10,11,12,13",-,"e4e5,e1g1,f3d4,d1d4,b1c3,d4d5,e1g1,c1f4",-
225,1447,1518,0-1,7,-,-,-,7,"5,6,7,8,9,9,10,11,12,13,14,15",c3d5,"h7h6,h7h6,c6d4,d8f6,f6d8,f6d8,g4h5,h5g6,a7a6,c5b6,c7c6,e5d4"
228,1059,1156,0-1,-,-,-,-,"8,9,10","6,7,8,9","d2d4,h4f3,h1h4","f6e4,g5h4,e6e5,h8h4"
235,1689,1684,1-0,12,-,6,-,12,"5,6",e1g1,"a7a5,a7a5"
218,1073,1116,0-1,11,-,-,14,"7,8,9,10,10,11,11","6,7,8,9,10,11,12,13,14,14","e1g1,e1g1,d4e5,c3e4,c3e4,c3b5,c3b5","c7c5,e8g8,d6e5,e5d4,g7d4,d4c3,e8g8,e8g8,e8c8,e8c8"
237,1202,1173,1-0,5,-,5,-,5,5,e1g1,c6d4
230,1851,1837,0-1,10,-,10,-,"9,10,10","5,6,7,8,9,10,10","f1e2,e1g1,e1g1","d7d6,d7d5,f6d5,e8g8,d5c3,d5c3,d5c3"
236,1957,1942,0-1,12,-,10,-,12,"9,10",a1c1,"e8g8,d7c6"
234,1353,1403,0-1,10,-,-,-,"4,5,6,7,8,9,10",-,"b1c3,g5e6,c4e6,d2d3,d1h5,d1h5,c1e3",-
242,1346,1311,0-1,-,9,6,-,9,"5,6",f1d3,"c6e5,e5c3"
244,1838,1723,1-0,7,-,9,-,"4,5,6,7",9,"d2d4,e4d5,d2d4,e1g1",e8g8
241,1502,1578,0-1,8,-,9,-,"5,6,7,8",9,"d2d3,b1c3,e1g1,e1g1",e8g8
