Id,WhiteElo,BlackElo,Result,WhiteShortCastle,WhiteLongCastle,BlackShortCastle,BlackLongCastle,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
94,2418,2554,1-0,4,-,10,-,4,"5,6,7,8,9,10",c2c4,"e8g8,b8c6,e8g8,c8b7,f6d5,d5b4"
98,2530,2420,1-0,11,-,-,11,"10,11",11,"a2a3,h2h4",g6e7
95,2323,2465,1-0,15,-,8,-,"9,10,11,12,13,14,15,15",8,"e1g1,d1c2,e1g1,a2a3,d1c2,b2c3,f3g5,f3g5",e8g8
99,2418,2299,1-0,10,-,-,-,10,"11,12,13,14,15",h3f4,"b8d7,b6d8,b4d6,e7d5,d6h2"
101,2710,2604,1-0,13,-,10,-,"9,10,11,12,13,13",10,"f3h4,g2g4,f1d3,b3d3,e1g1,e1g1",e7d8
103,2322,2540,0-1,-,-,6,-,-,6,-,c7c5
102,2415,2502,1-0,-,6,5,-,6,5,e1c1,c7c6
100,2531,2381,0-1,13,-,11,-,13,"4,5,6,7,8,9,10,11",d3d4,"d7d5,d8d5,e7d6,e7f6,d5f4,e5f4,g7g5,c6d4"
107,2607,2648,1-0,-,-,-,-,-,-,-,-
106,2461,2250,1-0,9,-,13,-,9,"10,11,11,12,13",d1b3,"d8b6,f6h5,f6h5,a7b6,b6a4"
105,2429,2397,1-0,13,-,5,-,"7,8,9,10,11,12,13","4,5","e1g1,c1g5,f3d2,g5e3,g2g4,c4d5,e1g1","d7d6,e8g8"
108,2287,2494,0-1,8,-,14,-,"7,8","13,14","e1g1,e1g1","e5f3,e8g8"
111,2562,2400,1-0,7,-,12,-,7,12,c1e3,e8g8
110,2300,2435,0-1,6,-,-,-,6,"13,14,15",d2d3,"e6f5,e8g8,f5e4"
109,2494,2441,0-1,10,-,-,-,"5,6,7,8,9,10","8,9,10,11,12,13,14,15","e4e5,c4b5,f3d4,c1e3,b5c6,b1d2","e8g8,d7c6,d8e7,e4c5,c6c5,g5e6,g5e6,d7b5"
113,2205,2446,0-1,5,-,4,-,5,4,c2c4,d7d5
104,2522,2650,1-0,-,-,9,-,"4,5,6,7,8,9,10,11,13,14,15","5,6,7,8,9","b1c3,b1c3,e1g1,c4b3,c4b3,d2c4,d2f1,e1g1,d3e4,b3e6,a2b3","d7d6,d7d6,h7h6,c8e6,e8g8"
