Id,WhiteElo,BlackElo,Result,WhiteSingleSwine,WhiteDoubleSwine,BlackSingleSwine,BlackDoubleSwine
545,3114,3224,1/2-1/2,True,False,True,False
546,3047,2964,1/2-1/2,False,False,False,False
548,2964,3114,1/2-1/2,False,False,False,False
547,3047,2797,1/2-1/2,True,False,False,False
549,3224,3051,1-0,True,False,True,False
550,2660,2913,0-1,True,False,False,False
551,2894,3083,1-0,False,False,False,False
552,2745,2510,0-1,False,False,True,False
553,3004,3019,0-1,True,False,True,False
554,3030,3035,0-1,False,False,False,False
555,3011,3083,0-1,False,False,True,False
556,2901,3011,1/2-1/2,False,False,False,False
557,3083,3030,1/2-1/2,True,False,False,False
558,3109,3004,1/2-1/2,True,False,True,False
559,3019,2745,1-0,True,False,True,False
560,2913,2780,0-1,False,False,False,False
561,3192,3224,1/2-1/2,False,False,False,False
562,3051,2964,1/2-1/2,False,False,False,False
563,3114,3047,1/2-1/2,True,False,True,False
564,3047,3051,1-0,True,False,True,False
565,2964,3192,0-1,False,False,True,False
566,2660,2510,1/2-1/2,True,False,True,False
567,2894,3019,0-1,True,False,False,False
568,3004,3035,1-0,False,False,True,False
569,3030,2901,1-0,False,False,False,False
570,3011,3226,0-1,False,False,True,False
571,2797,3011,1/2-1/2,True,False,True,False
572,3226,3030,1-0,False,False,True,False
573,2901,2688,1/2-1/2,True,False,True,False
574,3083,3004,1/2-1/2,True,False,False,False
575,3035,2745,1-0,False,False,False,False
576,3109,2894,1-0,True,True,True,False
577,2510,2780,1/2-1/2,False,False,False,False
578,3083,3224,1/2-1/2,True,False,True,False
579,2913,2964,1/2-1/2,False,False,False,False
580,3192,3047,1-0,False,False,False,False
581,3051,3114,0-1,False,False,True,False
582,3051,2797,1/2-1/2,False,False,False,False
583,3114,3192,1/2-1/2,False,False,True,False
584,3047,2913,1/2-1/2,True,False,True,False
585,2964,3083,1-0,True,False,False,False
586,2780,3019,0-1,True,False,True,False
587,2894,3035,1/2-1/2,False,False,False,False
588,3004,2901,1-0,False,False,False,False
590,2797,3030,0-1,True,False,True,False
589,3030,3011,1/2-1/2,True,False,True,False
591,3226,3004,1/2-1/2,False,False,False,False
592,2901,2745,1-0,False,False,False,False
593,3083,2894,1/2-1/2,False,False,True,False
594,3019,3224,1/2-1/2,False,False,False,False
595,3083,3047,0-1,False,False,False,False
596,2913,3114,1/2-1/2,True,False,True,False
597,3192,3051,1-0,False,False,False,False
598,3051,2913,1-0,False,False,False,False
599,3114,3083,1-0,False,False,False,False
600,2964,3019,1/2-1/2,False,False,True,False
601,3224,3109,1-0,True,False,False,False
602,2780,3035,0-1,False,False,False,False
603,2894,2901,1-0,True,False,False,False
604,3004,3011,1-0,True,False,True,False
605,2797,2688,1-0,True,False,False,False
606,3030,3004,0-1,False,False,True,False
607,3011,2745,1-0,False,False,False,False
608,2901,2660,1-0,True,False,False,False
609,3035,3224,0-1,True,False,True,False
611,3019,3047,1-0,True,False,False,False
610,3109,2964,1/2-1/2,False,False,False,False
612,3083,3051,1/2-1/2,False,False,False,False
613,2913,3192,0-1,True,False,True,False
614,2913,2797,1-0,False,False,True,False
615,3192,3083,1-0,False,False,False,False
616,3114,3019,1/2-1/2,True,False,True,False
617,3047,3109,1-0,False,False,False,False
618,2964,3035,1/2-1/2,True,False,True,False
619,3224,3083,1-0,True,False,False,False
620,2780,2901,1-0,True,False,True,False
621,2894,3011,1/2-1/2,False,False,True,False
622,2745,3030,1/2-1/2,False,False,False,False
623,2797,3004,1/2-1/2,True,False,True,False
624,2688,2745,1-0,False,False,False,False
625,3030,2894,0-1,False,False,False,False
626,3083,2964,0-1,False,False,False,False
627,3035,3047,1/2-1/2,False,False,True,False
628,3109,3114,1/2-1/2,False,False,False,False
629,3019,3051,1-0,True,False,True,False
630,3083,2913,1/2-1/2,True,False,True,False
