Id,WhiteElo,BlackElo,Result,WhiteShortCastle,WhiteLongCastle,BlackShortCastle,BlackLongCastle,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
341,1625,1724,0-1,11,-,6,-,"8,9,10,10,11,11",6,"g5f4,h4g3,a2a3,a2a3,e1c1,e1c1",h7h6
335,1271,1231,1-0,14,-,-,-,"8,9,10,11,12,13,14","9,10","e1g1,e1g1,f7h8,e1g1,e1g1,f4e3,d1e2","d8e7,d7d5"
345,2153,2185,0-1,10,-,11,-,10,11,e1g1,a7a5
342,2003,1932,1-0,8,-,-,-,"7,8","8,9,10,11,12,13","b1c3,e1g1","e8g8,e8g8,e8g8,e8g8,b2b8,b6d8"
338,1823,1825,1-0,6,-,-,-,6,"6,7,8,9,10,11,12,12,13,13,14",e1g1,"e8g8,f6d7,e7d6,e6f5,h7h6,f6g5,f6d4,f6d4,f5e4,f5e4,e8g8"
337,1686,1635,1-0,-,-,-,-,"13,14,15","7,8,12,13","d5g5,d5e5,g5f6","f6h5,e8g8,f6h6,f6g7"
351,2243,2180,0-1,-,-,7,-,-,7,-,e8g8
352,1172,1002,0-1,-,-,-,-,-,-,-,-
344,1415,1413,0-1,11,-,-,-,"4,5,6,7,8,9,11",-,"f3g5,e4d5,g5f7,d1f3,b1c3,c4b3,e1g1",-
343,1274,1252,0-1,11,-,11,-,"5,6,7,8,9,10,11",11,"e1g1,f3d4,f3d4,d4c6,c6a5,d1f3,d1d2",h7h6
354,1057,1092,1-0,-,-,-,-,-,-,-,-
347,1739,1754,1-0,7,-,5,-,"4,5,6,7",5,"b1c3,b1c3,d2d3,g2g4",d7d6
346,1340,1186,1-0,-,-,-,-,"10,13,13,14,14,15,15","11,12,13,14","d2d3,f3d4,f3d4,c4e6,c4e6,d4e6,d4e6","b4c5,c7c6,c7c6,f7e6"
349,1390,1388,1-0,11,-,10,-,"9,10,11","7,8,9,10","c4d3,e1g1,e1g1","d5c4,c7c5,c8b7,c8b7"
357,1312,1377,0-1,7,-,5,-,"6,7",5,"h2h3,e5e6",e8g8
350,1042,1013,1-0,14,-,-,-,"9,10,12,13,14",-,"c4f7,c3e4,c3b4,e4c5,c1e3",-
356,1322,1318,1-0,7,-,-,15,7,"13,13,14,14,15,15",h2h3,"h5e2,h5e2,c6d4,c6d4,d6e5,d6e5"
355,820,860,0-1,8,-,-,-,"5,6,7,8",7,"d2d4,e5f3,e5g4,c2c3",e8f7
353,1388,1686,1/2-1/2,10,-,11,-,"6,7,8,9,10","7,8,9,10,11","c2c4,c2c4,c2c4,h2h3,c3b1","b7b5,d7b6,d6b4,d6b4,d8d7"
362,898,857,1-0,6,-,-,-,"5,6",-,"d2d4,d2d4",-
365,1509,1385,1-0,-,-,7,-,-,7,-,e8g8
358,867,877,0-1,11,-,15,-,"10,11","7,8,9,10,11,12,13,14,15","e1g1,h2h3","e4c5,b4a5,e8g8,e8g8,e8g8,g5g4,c8e6,c6e5,c8e6"
348,802,928,0-1,-,-,-,-,"9,10,11,12","5,6,7,8,9,10,11,12,13,14,15","d1d2,c2c4,e1g1,d4d5","b8c6,e5d4,f6e4,e4c3,d8e7,d5b6,b6c4,d8e7,f7f6,c4b6,c8e6"
363,993,986,0-1,5,-,9,-,"4,5","5,6,7,8,9","d2d3,c2c3","c6d4,e8g8,g4h5,e8g8,b7b5"
361,1842,1917,1-0,-,-,15,-,13,"7,8,9,10,11,12,13,14,15",a2a3,"d7d5,d8h4,h4e4,e4e2,b7c6,f4e3,f6d4,d7d6,e8e7"
366,1263,1350,1-0,-,11,10,-,"9,10,11,11",10,"e1g1,e1g1,e1g1,e1g1",a8c8
364,1810,1875,1-0,10,-,9,-,"6,7,8,9,10","6,7,8,9","e1g1,c1e3,c4c5,a1b1,h2h3","e8g8,d8e7,d8b6,c8g4"
367,1927,1926,0-1,-,-,-,-,-,"12,12,13,13,14,14",-,"e8c8,e8c8,c2a4,c2a4,c5d4,c5d4"
360,2121,2221,1-0,7,-,-,-,"4,5,6,7","7,8,9,10,11,12,13,14,15,15","d1e2,d3d4,c1f4,c4a2","e8g8,d7d5,d4f3,a7a6,a7a6,d6d5,d6d5,d6d5,d6c5,d6c5"
359,1444,1454,0-1,9,-,-,-,9,"8,9,9,10,10,11,11,12,12,13,13,14,14,15,15",e1g1,"e8g8,e8g8,a7a6,d6d5,d6d5,c6d4,c6d4,g7d4,g7d4,d5d4,d5d4,d7c6,d7c6,b2a2,b2e5"
370,1739,1797,0-1,11,-,11,-,11,11,f3g5,h7h6
368,2211,2169,1-0,14,-,8,-,"13,14,14","7,8","g1e2,e1g1,e1g1","b4c3,d7d6"
372,2070,2189,0-1,8,-,4,-,"6,7,8",4,"c4d3,e1g1,e1g1",d7d5
369,978,919,0-1,10,-,-,-,"5,6,7,8,9,10",14,"b5c6,a4b3,d2d4,a2a4,b3a2,d3d4",f6h5
376,2034,1977,1-0,6,-,-,-,"5,6",-,"d1b3,c1e3",-
374,1853,1872,1-0,8,-,9,-,8,"8,9",d2d4,"e8g8,e7e5"
377,1727,1980,0-1,7,-,-,5,7,5,e1g1,e7e5
383,924,907,1-0,-,-,-,-,-,-,-,-
378,1104,1115,0-1,4,-,-,-,4,-,d3c4,-
375,1829,1829,0-1,6,-,13,-,"4,5,6","12,13","e1g1,c4b3,d2d4","e8g8,e8g8"
371,1043,967,0-1,-,-,8,-,"7,8,9,10,11,12","7,8","e1g1,h2g3,c3c4,h4f3,f3g1,h1h6","d8e7,c8d7"
382,1683,1718,1-0,-,-,-,9,"10,11,13,14,15","9,9","b2b4,a1c1,b2b4,d2b2,c3d4","e8g8,e8g8"
380,1380,1221,0-1,6,-,-,-,"5,6","9,10,11,12,12,13,13","e1g1,h2h3","e6g6,e8g8,e8g8,h3g4,h3g4,a8d8,a8d8"
385,1259,1279,0-1,8,-,7,-,8,"4,5,6,7",d2d4,"b8c6,c5f2,c5e7,d7d6"
381,1355,1368,1-0,11,-,-,11,"7,8,9,10,11","9,10,11","d3e4,h2h3,e1g1,d1f3,e1g1","g4e6,f6e4,e4f6"
388,1906,2200,0-1,5,-,6,-,5,6,d2d4,e8g8
373,960,983,0-1,14,-,-,-,"8,9,10,11,11,13,13,14,14","12,13,14,15","e1g1,c1d2,c3e2,f3d4,f3d4,a4c3,a4c3,f3d4,f3d4","d8e6,d8e6,b7b5,a5c3"
389,2119,2015,0-1,8,-,11,-,8,11,e1g1,e8g8
390,1943,1947,1-0,6,-,4,-,6,4,e1g1,d7d6
386,1310,1316,1-0,11,-,6,-,"6,7,8,9,10,11",6,"e4e5,e4e5,e1g1,c4d5,e3g5,e1g1",d7d6
384,1022,1045,1-0,14,-,10,-,"4,5,6,7,8,9,10,11,12,13,14","9,10","f3g5,e4d5,f3g5,f3e5,b2c3,f3e5,e5f3,e4e5,e1g1,e1g1,d1d3","c7c5,d6e7"
397,1608,1587,0-1,-,-,-,-,-,-,-,-
398,1456,1431,1-0,-,-,-,-,-,-,-,-
387,1433,1469,0-1,14,-,14,-,"9,10,11,12,13,14,14","8,9,12,14","c4c5,c3e4,c3e4,b2b4,f1d3,b2b4,b2b4","f6e4,f6e4,c7c8,e4f3"
392,706,613,1-0,-,-,-,-,-,"9,11",-,"b4e7,a8d8"
394,1126,1146,0-1,-,-,-,-,-,"9,13,14,15",-,"f7f6,g8f6,f8d6,a6b8"
391,1926,1914,1-0,10,-,15,-,"8,9,10","8,9,10,11,12,13,14,15","d4c5,d1f3,e1g1","g4f3,c5d4,g8e7,g8e7,e7f5,c6d7,f8e7,e8g8"
393,2072,2049,1-0,7,-,9,-,"4,5,6,7","8,9","f3d4,e1g1,b5e2,d2d3","d7d5,d7d5"
401,2109,2147,0-1,9,-,8,-,9,8,e1g1,a7a6
396,1869,1863,0-1,9,-,12,-,"6,7,8,9","11,12","d2d4,d1e2,d1e2,d1e2","f5g6,e7f6"
395,1736,1797,0-1,-,-,13,-,-,"7,8,9,10,11,12,13",-,"b7b6,g4f2,g4f2,f6d7,h7h5,e8e7,c7c5"
402,1629,1649,0-1,6,-,-,-,"5,6",-,"e1g1,b1c3",-
405,1647,1665,0-1,-,11,-,-,"10,11",-,"f3h4,e2h5",-
403,1087,973,0-1,9,-,-,13,"8,9","8,9,13","d3f5,d1d3","b4c3,b4c3,e8c8"
400,1706,1706,0-1,-,-,9,-,"10,11,12,13,14","8,9","e1g1,e1g1,g5f3,h4g5,d1f3","e8g8,e8g8"
399,1824,1849,1-0,12,-,12,-,"6,7,8,9,10,10,11,11,12,12",12,"c2c3,h2h3,d1f3,b1d2,d3f5,d3f5,c3d5,c3d5,f5d3,f5d3",b4c3
404,1041,1063,0-1,-,-,-,-,"10,13","10,11,12,13,15","f2f3,c3c4","a7a6,d6e5,e5d4,b6d4,d4a1"
409,781,921,0-1,11,-,-,-,11,"11,12",b1c3,"g7b2,b2a1"
411,1448,1439,1-0,-,-,-,-,"4,5,6,7,8",-,"f3g5,e4d5,g5f7,d1f3,f3d5",-
412,2045,2066,1-0,7,-,9,-,7,9,e1g1,d8c7
407,1773,1655,0-1,9,-,9,-,"4,5,6,7,8,9","5,6,7,8,9","b1c3,d2d4,b2b4,e1g1,e1g1,e1g1","d7d6,a7a5,a7a5,e8g8,c5a7"
417,1804,1846,1-0,8,-,7,-,8,7,b1c3,d6d5
