Id,WhiteElo,BlackElo,Result,WhiteShortCastle,WhiteLongCastle,BlackShortCastle,BlackLongCastle,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
22491,1446,1489,1-0,10,-,10,-,10,10,f3d4,d7d6
22492,1404,1364,1-0,-,10,-,-,10,-,c3d5,-
22493,1217,1200,0-1,7,-,7,-,"6,7",7,"c1e3,d1d2",e8g8
22494,1837,1837,0-1,-,9,6,-,"7,8,9",6,"c3e4,h6g7,c3e4",d7d5
22495,2195,2147,1/2-1/2,-,-,7,-,"7,8,9,10,11,11,12,12,13,14,15",7,"e1g1,a2a4,a2a4,d1d2,e1g1,e1g1,c3d5,c3d5,e2d4,e3d4,d2e3",a8b8
22496,1888,1900,0-1,-,-,-,-,"10,11,12,13",-,"c2c4,e2g3,c2c4,h1h4",-
22497,1453,1462,0-1,8,-,9,-,"5,6,7,8","8,9","d2d3,b5c6,f4e5,b2b3","e8g8,e8g8"
22498,1207,1300,1-0,-,-,6,-,"9,10,11,12,13,14,15",6,"e1g1,g5e6,g5e6,g5h3,g5h3,g5h3,h3f4",e8g8
22499,1124,1069,0-1,7,-,13,-,"5,6,7","12,13,13","b5e2,f3d4,c1f4","d7e5,d7e5,d7e5"
22500,1710,1703,0-1,-,-,-,-,-,-,-,-
22501,1973,1918,1-0,9,-,-,13,9,13,e1g1,e8c8
22502,2141,2150,1-0,8,-,12,-,8,"11,12,12",e1g1,"d8c7,e8g8,e8g8"
22503,2156,2123,0-1,10,-,-,-,"8,9,10",-,"c4d3,b3d5,e1g1",-
22504,1854,1862,1-0,-,-,6,-,"5,6,7,8,9,10,11,12,13,14,14,15",6,"c2c3,c4f7,g5f3,c1h6,h5f5,f5c5,c5a3,c4e2,b1d2,e2g4,e2g4,e1g1",d8e7
22505,1577,1669,0-1,-,-,6,-,"8,10,11,12,12,13,13,14,14,15,15","4,5,6","e3e4,c3c2,c2e2,g5h4,h2h4,d3e4,d3e2,h7e4,h7e4,c2e4,c2e4","d7d5,c8b7,e8g8"
22506,1862,1832,0-1,-,15,14,-,15,"12,13,14",b3b4,"f6d6,a5b3,c7c6"
22507,2095,2116,1-0,10,-,13,-,10,"6,7,8,9,10,11,11,12,12,13,13",e3e4,"d6d5,c8b7,d6d5,d6d5,d6d5,d6d5,d6d5,d6d5,d6d5,d6d5,b5a4"
22508,1607,1592,1-0,-,-,6,-,"7,8,9,10,11,12,13,14,15","5,6","b1c3,c3e4,c4a2,c3e4,c3e4,d1c2,d1c2,e3e4,a1c1","c7c6,b8d7"
22509,966,885,1-0,-,-,-,-,15,13,c1h6,g4h6
22510,1788,1708,0-1,12,-,5,-,"10,11,12","4,5","f3d4,d4g7,d1d4","e8g8,e8g8"
