Id,WhiteElo,BlackElo,Result,WhiteShortCastle,WhiteLongCastle,BlackShortCastle,BlackLongCastle,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
14218,3246,3280,1/2-1/2,5,-,15,-,5,"7,8,9,10,11,12,13,14,15",g8f6,"d4c5,a2a3,f3d2,d2b3,b1c3,c3a4,b3d2,c1d2,a1c1"
14219,3280,3283,1/2-1/2,5,-,10,-,5,"9,10",c5d4,"b1c3,c3a4"
14217,3426,3226,1/2-1/2,14,-,5,-,"9,10,11,12,13,14,14",5,"f8e8,d5d4,d8f6,f6f5,d4e3,e3f2,e3f2",e2e3
14221,3048,3014,1-0,-,12,9,-,"8,9,9,10,10,11,11,12,12",9,"g8h6,e8g8,e8g8,e7e6,e7e6,d6d5,d6d5,d5d4,d5d4",g2g4
14220,3470,3426,0-1,-,-,15,-,"8,9,9,10,10,11,11,12,12,13,13","11,12,13,14,15","a8b8,c5d4,c5d4,g8h6,g8h6,b7b5,b7b5,c8g4,c8g4,g4e2,g4e2","c4b5,f3e4,e1e2,e4f4,a2a4"
14222,3426,3470,1/2-1/2,9,-,-,-,9,-,c8e6,-
14223,3486,3577,1/2-1/2,-,-,-,-,"9,10,11,12,12,13,14,15",-,"c8f5,g8f6,d8c8,h8d8,h8d8,b7c6,f6d7,g7f8",-
14224,3234,3166,1/2-1/2,-,12,-,-,"11,12,12","13,14,15","b8d7,d8c7,d8c7","d3e4,e4e2,c1b1"
14227,3426,3345,0-1,5,-,8,-,"4,5",8,"g8f6,b7b5",f1e1
14225,3166,3177,1/2-1/2,8,-,9,-,8,9,f8d6,d3g6
14229,3166,3211,1/2-1/2,11,-,9,-,11,"7,8,9",f8d8,"c1f4,e2e3,f1e2"
14226,3095,3166,0-1,5,-,12,-,"4,5","8,9,10,11,12","g8f6,b7b5","d4d5,b3c2,d5c6,f1e1,b1d2"
14228,3316,3280,1/2-1/2,-,-,-,-,-,"7,8,9,10,11,12,14",-,"c1f4,c4c5,f4g5,c3e4,b3d2,e4f6,d1c2"
14230,3350,3280,1-0,-,-,9,-,"7,8,9","8,9","f8e7,h7h6,e8g8","h1g1,h2h4"
14232,3486,3201,1-0,-,-,-,-,"9,10,11,12,13,14,15","9,10,11,12,12,13,13,14,14,15","d8d6,d6c5,c8f5,c5d6,f5e4,d5e4,e7d6","d4c5,b5e2,c1e3,e2d3,e2d3,d3e4,d3e4,d1d6,d1d6,f3g5"
14231,3414,3486,1/2-1/2,7,-,9,-,7,"8,9",f8e7,"d1d3,d3g3"
14233,3355,3486,1/2-1/2,10,-,-,-,"9,10","12,13,13,14,14,15,15","b8c6,d8b6","c1d2,b5c6,b5c6,a4d4,a4d4,f3d4,f3d4"
14235,3601,3586,1-0,-,-,12,-,-,"11,12",-,"e5f3,a2a4"
14234,3486,3347,1/2-1/2,10,-,15,-,"8,9,10","12,13,13,14,14,15,15","d7d6,b7c6,e6e5","b2b3,h2h3,h2h3,g3g4,g3g4,c2c4,c2c4"
14236,3586,3602,1/2-1/2,14,-,13,-,"8,9,10,11,12,13,14",13,"c6d4,d4c6,f5d7,b7c6,f8g7,e8g8,a8b8",e1g1
14237,3602,3586,1/2-1/2,-,10,-,-,10,"9,10,11,15",f7f6,"e1c1,g1f3,c1b1,d1c1"
14238,3586,3602,1/2-1/2,-,-,-,-,"13,14,14,15,15",15,"f5e4,c8f5,c8f5,g8h6,g8h6",f3g5
14239,3602,3586,1/2-1/2,-,-,-,-,"9,10,11,12,13,14,15","14,15,15","h7h6,b8d7,a4f4,d7c5,c8d7,g8e7,a8c8","f3d4,h2h4,h2h4"
14240,3586,3602,1/2-1/2,-,-,-,-,"9,10","12,13,14,15","c8d7,a4c2","c3d4,d2e3,h2h4,h4h5"
14241,3602,3586,1/2-1/2,13,-,-,-,13,-,g6g5,-
14242,3586,3602,1/2-1/2,-,-,-,-,-,-,-,-
14244,3586,3602,1-0,-,12,10,-,"10,11,12,12",10,"e8g8,b8c6,h7h6,h7h6",c1b2
14245,3602,3586,1-0,-,9,10,-,"7,8,9,9","8,9,10","f8e7,a7a6,d8c7,d8c7","e1c1,c4b3,g2g4"
14243,3602,3586,1-0,-,-,-,-,"9,10,11,12","10,11,12,13,14,15","f8e7,c8a6,b8a6,d5b6","d3a6,h1h3,e1f1,c2c4,e4c3,h3g3"
14246,3586,3602,1/2-1/2,-,9,10,-,"7,8,9,9","8,9,10","f8e7,a7a6,d8c7,d8c7","e1c1,c4b3,g2g4"
14248,3586,3602,1/2-1/2,7,-,6,-,7,6,b8a6,e1g1
14247,3602,3586,1/2-1/2,7,-,6,-,7,6,b8a6,e1g1
14249,3602,3586,1-0,-,-,7,-,"8,9,10,11,12,13,14,15",7,"b8a6,a6b4,c8d7,a8b8,b4a6,f6e8,f7f6,a6c7",h2h3
14250,3586,3602,1-0,-,14,7,-,"8,9,10,11,12,13,14,14",7,"f6e8,f7f5,g7f6,c8f5,g6f5,b8d7,d8e7,d8e7",h2h3
14251,3375,3375,1-0,10,-,-,14,10,14,d5c7,b2b4
14253,3375,3375,1/2-1/2,6,-,10,-,6,"9,10",f6e4,"e1e5,a3b4"
14254,3375,3375,1/2-1/2,11,-,13,-,"7,8,10,11","11,12,13","c6b4,b4d3,g8f6,a7a6","h2h3,d3d4,a3d6"
14252,3375,3375,1-0,-,-,9,-,"10,11",9,"f8e8,f6h5",f4d6
14255,3375,3375,1/2-1/2,5,-,8,-,"4,5","6,7,8","g8f6,f8e7","a4b3,c2c3,h2h3"
14257,3375,3375,1/2-1/2,-,8,6,-,8,6,c6d4,d1d2
14256,3375,3375,1/2-1/2,5,-,8,-,"4,5","6,7,8","g8f6,f8e7","a4b3,c2c3,h2h3"
14258,3375,3375,1-0,-,11,4,-,11,4,d5c4,f1d3
14259,3375,3375,1/2-1/2,-,-,-,-,-,"7,8,9,10",-,"c3d5,c1f4,f4h6,d5c7"
14262,3375,3375,1-0,-,10,-,-,10,"12,13,14,15",d6c7,"c3e4,c2c4,f2e3,c1b1"
14260,3375,3375,1/2-1/2,-,-,-,-,"8,9","8,9,10,15","h7h6,g8e7","e1f1,f1g1,b1a3,d2e3"
14261,3375,3375,1/2-1/2,5,-,6,-,5,6,f8g7,c1b2
14265,3375,3375,1/2-1/2,-,-,-,13,-,"6,7,8,9,10,11,12,13",-,"b1c3,c1d2,b2c3,a1b1,h1g1,f3f4,e3e4,d1f3"
