Id,WhiteElo,BlackElo,Result,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
179,2514,2489,1/2-1/2,"7,8,9,10,11,12","9,10,11","e4d5,c1g5,g5f6,g5f6,g2c6,e1g1","c8g4,e7f6,f6e5"
178,2595,2454,0-1,"8,9,10,11","4,5","f3d4,d4c6,e2e3,g5f6","c7c5,b8d7"
180,2436,2548,1-0,9,7,c1f4,d7d6
182,2529,2502,0-1,7,"14,15",h2h4,"e8g8,c5d3"
181,2592,2445,1-0,11,"10,11,12,13,14,15",a2a3,"e7f5,e7f5,d8b6,h7h5,e6f5,h7h5"
183,2526,2576,1-0,"10,11,11,12,12,13,13,14,14",7,"d4c2,e1c1,e1c1,e1g1,e1g1,f3f4,f3f4,e1g1,e1g1",b8c6
185,2451,2621,1-0,"7,8",8,"c2c3,c2c3",h7h6
184,2633,2586,1-0,"7,8,9,10,11,11,12,12","13,13","d1e2,f3e5,e5d3,f3d2,f3d2,f3d2,f3d2,f3d2","h7h5,h7h5"
186,2547,2380,1-0,"4,5,6,7,8,10,11,12,13,14",10,"b5a4,e1g1,d2d4,d1d4,d4e2,h2h4,d1e3,h2h4,a1d1,c2c4",e8c8
187,2444,2596,0-1,"8,9","8,9,10","e4e5,e1g1","e8g8,e8g8,a7a5"
188,2644,2683,1-0,"12,13,14,15",-,"a2a3,c2c3,h4h5,h4h5",-
189,2567,2675,1-0,4,6,c2c4,e8g8
190,2623,2649,1/2-1/2,4,"6,7,8",c2c4,"e8g8,c7c5,c7c5"
191,2393,2539,0-1,7,"6,7,8,9,10,11,12,13,15",e4e5,"b7b5,b7b5,f6d7,a6a5,c5c4,f7e6,c5c4,d7e5,e8g8"
192,2431,2588,1-0,6,5,e1g1,c7c6
193,2473,2608,1-0,"7,8","10,11","h2h3,g2g3","h5e2,b8d7"
194,2546,2606,1-0,"4,5,6","5,6,7","e1g1,d2d3,a2a4","d7d6,d7d6,d7d6"
