Id,WhiteElo,BlackElo,Result,WhiteAttackIncrease,BlackAttackIncrease,WhiteCentralizationIncrease,BlackCentralizationIncrease
78019,1481,1501,0-1,"1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0","0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
78023,2059,2081,1-0,"1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0","0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1","1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1"
78027,1841,1798,0-1,"1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0","0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0","1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0","0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1"
78021,1326,1359,0-1,"1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0","0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0","1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
78024,1314,1319,0-1,"1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0","1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
78026,1597,1578,1-0,"1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0","0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0","1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
78025,1337,1295,1/2-1/2,"1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0","0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1"
78030,2023,2111,0-1,"1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
78028,1356,1358,0-1,"1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1","1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
78029,2145,2186,1-0,"1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0","0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0","0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
78032,1383,1398,0-1,"1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0","0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1","1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
78034,1212,917,1-0,"1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0","0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1"
78037,1761,1760,0-1,"1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0","0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1"
78031,1083,1065,0-1,"1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0","0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1","1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
78033,1059,1145,0-1,"1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
78036,1365,1359,1-0,"1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0","0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
