Id,WhiteElo,BlackElo,Result,ConsideredMovesWhite,BestPieceMovesCountWhite,ConsideredMovesBlack,BestPieceMovesCountBlack
63886,787,842,1-0,10,2,5,3
63883,1781,1796,0-1,10,1,6,2
63896,1279,1269,0-1,4,2,4,2
63888,1395,1484,0-1,10,1,8,2
63890,1644,1633,0-1,5,3,10,2
63893,1759,1750,1-0,8,2,10,2
63887,1282,1297,1-0,10,1,10,3
63895,1881,1883,0-1,9,2,8,4
63892,1662,1643,0-1,10,0,9,1
63897,1932,1973,1-0,10,1,8,2
63900,1624,1627,0-1,7,1,9,2
63901,1960,2245,0-1,5,1,10,1
63898,1883,1920,0-1,10,3,7,3
63903,1491,1548,0-1,10,2,5,3
63902,1433,1438,1-0,10,2,5,1
63894,2002,1847,0-1,10,1,9,2
63899,1788,1773,0-1,10,2,8,4
63907,1077,1085,0-1,10,3,9,3
63904,1011,1057,1-0,5,0,10,2
63912,863,894,1-0,5,1,4,2
63908,1620,1512,0-1,6,3,7,2
63909,1650,1627,1-0,10,1,8,1
63916,1271,1102,1-0,1,0,0,0
63906,883,962,0-1,10,1,10,0
63905,1005,986,0-1,9,3,10,2
63910,1994,1975,0-1,10,1,8,1
63913,1354,1338,0-1,8,1,9,1
63911,1556,1569,0-1,7,2,10,0
63918,1680,1638,1-0,8,1,7,2
63914,1440,1313,0-1,6,0,10,2
63917,1800,1766,1-0,9,1,10,1
63923,1439,1323,1-0,7,2,6,3
63922,1825,1831,0-1,10,3,7,1
63924,1292,1331,1-0,8,1,5,2
63921,2129,2106,1-0,10,2,10,2
63920,2011,2033,1-0,7,2,10,2
63919,1735,1742,1-0,7,3,10,3
63915,1643,1636,1-0,10,1,10,2
63925,1696,1676,0-1,7,3,8,1
63926,1185,1063,0-1,5,2,8,3
63927,1199,1190,1-0,5,2,9,3
63934,1145,1177,1-0,10,1,3,1
63932,1718,1698,0-1,6,2,7,2
63929,1270,1349,1-0,10,1,6,1
63928,1896,1917,0-1,7,1,10,2
63938,1431,1419,0-1,10,2,4,2
63933,1686,1607,1-0,9,2,6,3
63930,1148,1115,1-0,10,2,9,2
63935,1451,1420,1-0,9,2,10,2
63941,1986,1927,1-0,6,3,7,2
63931,1500,1500,0-1,8,4,6,3
63937,725,795,0-1,8,2,6,2
63939,1739,1745,0-1,6,3,9,2
63942,1096,1065,1/2-1/2,4,1,7,3
63943,1400,1366,1-0,8,3,7,0
63940,1580,1572,0-1,9,3,8,2
63944,1112,986,0-1,8,3,5,2
63945,1204,1275,0-1,7,1,8,0
63936,2105,2129,0-1,10,2,9,4
63946,1799,1770,0-1,9,1,6,3
63948,1704,1707,1-0,6,2,9,2
63950,1731,1758,1-0,9,3,7,3
63947,1752,1655,1-0,8,1,5,1
63954,1106,1054,1-0,9,1,4,1
63951,1181,1233,0-1,5,1,7,2
63953,1952,2061,0-1,7,2,6,1
63949,1482,1521,1-0,6,2,7,1
63952,1413,1356,0-1,10,3,8,3
63956,1484,1533,0-1,8,2,5,2
63959,1141,1080,1-0,5,1,10,1
63963,2013,2030,0-1,6,2,6,3
63955,1830,1833,1-0,5,3,9,2
63957,1412,1423,0-1,6,3,10,1
63961,1983,2010,1-0,7,1,9,0
63962,1353,1337,0-1,10,2,10,2
63965,1632,1663,0-1,6,3,9,1
63958,1315,1315,0-1,9,1,10,1
63966,1694,1673,0-1,10,1,9,3
63971,1518,1522,1-0,7,2,8,2
63960,945,1021,0-1,8,3,10,2
63970,1508,1571,1-0,10,2,7,4
63964,1500,1500,0-1,10,2,8,4
63969,1794,1866,0-1,9,3,9,2
63968,1735,1722,0-1,10,1,8,1
63967,1566,1580,1-0,10,1,10,1
63973,1735,1789,0-1,7,3,7,2
63972,1568,1545,1-0,9,2,9,1
63977,1479,1495,0-1,3,2,7,2
63974,1708,1676,0-1,10,2,10,0
63976,1437,1444,0-1,8,2,10,1
63975,1023,1011,0-1,10,4,7,3
63984,1242,1222,1-0,6,1,5,3
63981,2067,2078,1-0,9,2,8,2
63979,1613,1637,0-1,9,3,4,1
63980,1808,1789,1/2-1/2,10,2,10,1
63978,1085,1084,0-1,8,1,10,1
63983,1114,1125,0-1,9,2,8,2
63988,1746,1739,0-1,7,1,6,3
63992,1287,1274,0-1,5,2,4,3
63982,1859,1867,1-0,10,2,10,2
63994,1481,1674,0-1,1,0,1,0
63989,1590,1588,0-1,6,3,4,2
63986,1347,1359,0-1,9,0,7,2
63995,1651,1685,0-1,6,3,10,2
63991,2140,2157,1-0,10,3,6,2
63993,896,850,1-0,4,1,8,3
63985,1941,2014,0-1,9,1,10,2
63996,1721,1675,1/2-1/2,5,1,9,2
63987,2142,2241,1-0,10,1,10,2
63997,778,758,1-0,4,2,7,3
64001,1599,1621,0-1,5,1,10,2
63998,1776,1887,0-1,6,2,8,3
64002,1303,1353,0-1,6,2,9,2
64006,1388,1344,1-0,8,4,5,2
63990,1143,1133,1-0,10,1,10,2
64005,1910,1887,1-0,4,3,6,1
63999,1987,1968,1-0,10,0,10,2
64000,1397,1419,1-0,10,3,10,2
64009,1129,1075,1-0,4,2,8,1
64004,1820,1786,0-1,8,3,10,3
64007,1229,1196,0-1,5,2,10,0
64010,1125,1067,1-0,7,3,5,3
64012,1796,1815,0-1,5,1,10,1
64014,1592,1577,0-1,7,3,10,2
64003,1991,2049,0-1,10,1,8,2
64016,2082,2104,0-1,5,1,7,2
64013,2140,2077,1-0,9,1,10,1
64011,1424,1395,0-1,10,1,6,3
64008,1538,1619,1-0,10,2,10,2
64020,1555,1627,1-0,5,0,10,1
64015,1532,1612,0-1,9,1,9,1
64021,2144,2037,0-1,7,2,7,3
64017,1565,1513,1-0,7,2,7,3
64024,1717,1662,0-1,5,1,8,0
64027,1598,1539,1-0,7,1,8,3
64026,1655,1694,1-0,10,2,7,1
64025,1778,1743,1-0,9,2,5,2
64022,1270,1092,1-0,10,2,7,2
64019,1990,2079,0-1,10,2,10,3
64031,1626,1562,0-1,7,1,6,3
64023,1558,1493,1-0,10,0,7,2
64028,1299,1363,1-0,8,1,10,1
64018,2053,2060,1-0,6,1,10,1
64030,980,1025,1-0,10,2,5,3
64033,1276,1302,1-0,5,1,8,1
64034,1656,1648,0-1,6,3,10,0
64029,1090,1155,1-0,8,2,9,0
64032,1385,1511,1-0,10,0,6,1
64035,1629,1374,1-0,10,2,7,3
64036,1479,1479,1-0,9,2,6,1
64037,1949,1906,0-1,9,1,5,2
64041,1904,1907,1-0,6,2,7,2
64042,2296,2213,0-1,9,2,5,3
64039,2026,2022,1-0,8,2,10,3
64043,1841,1859,0-1,10,2,4,3
64038,940,979,0-1,9,4,10,0
64047,1790,1777,0-1,8,3,9,3
64048,1266,1311,0-1,8,2,9,4
64046,2002,1991,0-1,10,3,6,2
64049,1861,1847,1-0,5,2,6,0
64045,1033,902,0-1,10,2,10,2
64040,1691,1632,0-1,8,2,10,0
64044,1507,1476,0-1,9,2,10,1
64052,1464,1361,0-1,10,2,6,2
64051,2038,2040,0-1,10,1,6,2
64050,1275,1284,1-0,10,2,9,1
