Id,WhiteElo,BlackElo,Result,ConsideredMovesWhite,BestPieceMovesCountWhite,ConsideredMovesBlack,BestPieceMovesCountBlack
18768,883,894,0-1,7,1,10,2
18773,1307,1329,0-1,10,3,9,2
18779,1492,1496,0-1,9,1,5,2
18777,1337,1389,0-1,10,2,10,3
18776,1995,2182,0-1,10,3,4,1
18774,1088,1102,1-0,10,2,10,0
18775,1228,1232,0-1,10,2,8,3
18781,1955,1928,1-0,5,1,7,2
18785,2007,1979,0-1,8,2,7,4
18778,1408,1409,1-0,7,3,7,0
18786,1429,1421,0-1,5,1,8,2
18782,1343,1331,1-0,3,2,7,2
18783,1866,1851,0-1,7,1,7,2
18780,1228,1198,1-0,10,3,10,2
18784,1871,1699,0-1,5,3,7,2
18788,1786,1780,1-0,5,1,5,2
18790,1723,1709,1-0,6,2,6,3
18792,2073,2121,0-1,10,2,10,2
18795,2062,2151,1/2-1/2,8,2,5,2
18789,1373,1407,0-1,4,1,7,2
18791,1401,1169,1-0,6,4,6,2
18787,1322,1319,0-1,10,2,10,2
18799,1940,2020,0-1,10,2,10,2
18796,1739,1680,1-0,8,2,5,2
18801,1815,1827,1/2-1/2,8,0,8,2
18802,1404,1403,0-1,5,2,5,1
18797,1448,1455,1-0,7,4,9,2
18793,1900,1978,0-1,7,1,10,2
18798,1962,1952,1-0,7,3,7,2
18803,1288,1328,1-0,8,3,6,3
18800,1688,1717,1-0,9,3,10,0
18804,1352,1279,1/2-1/2,8,1,8,2
18794,1220,1276,1-0,7,2,10,3
18812,1223,1124,1/2-1/2,2,1,2,1
18809,1569,1592,0-1,8,1,5,2
18805,1293,1337,0-1,4,2,10,2
18807,1596,1608,1-0,9,3,9,3
18806,2096,2145,1-0,9,2,10,1
18813,1923,2011,1-0,6,0,10,2
18811,2036,1983,1-0,10,0,6,0
18808,1310,1267,1-0,9,3,9,3
18819,1811,1809,0-1,9,2,7,3
18814,1179,1178,1-0,7,2,6,3
18810,1524,1525,0-1,9,2,9,3
18816,1606,1684,1-0,9,1,6,3
18823,884,940,0-1,4,1,6,2
18815,1088,1080,0-1,8,3,10,1
18818,1013,969,1/2-1/2,10,2,8,2
18822,1504,1599,1/2-1/2,8,4,3,2
18817,2159,2009,1-0,10,3,9,3
18821,1413,1392,0-1,10,2,5,2
18820,1768,1791,0-1,6,2,10,2
18824,1214,1194,0-1,6,3,5,1
18825,1526,1489,1-0,9,1,8,1
18827,2120,2116,0-1,5,3,5,0
18830,1991,1949,1-0,6,0,7,2
18834,1421,1403,1-0,7,3,7,2
18828,1364,1382,0-1,9,1,3,1
18836,1689,1680,1-0,9,3,7,3
18826,1903,2108,0-1,7,2,10,3
18829,1062,968,1-0,10,2,8,3
18832,1652,1673,0-1,9,1,6,2
18838,931,954,0-1,8,2,6,2
18831,1562,1545,1-0,10,2,7,1
18833,2191,2123,1-0,10,3,5,1
18835,1766,1773,1-0,7,2,8,0
